material_id,organization_id,description
A051,ORG_A,"STAINLESS STEEL CONCENTRIC REDUCER 4"" X 2"" SCHSCH40S ASTM A403 WP304;"
A052,ORG_A,"GRAPHITE SPIRAL WOUND GASKET 2"" SCH150# ASME B16.20 SS316 INNER"
A053,ORG_A,"PTFE FULL FACE GASKET 3"" SCHEDULE 150# ASME B16.21 TEFLON"
A054,ORG_A,"NON-ASBESTOS RING GASKET 4"" ASME B16.21 SCH300# KLINGER"
A055,ORG_A,CAST IRON CENTRIFUGAL PUMP 1.5 HP HORIZONTAL 2900 RPM;
A056,ORG_A,COPPER WINDING INDUCTION MOTOR 11 KW IE3 EFFICIENCY 3 PHASE
A057,ORG_A,INDUCTION MOTOR IE2 EFFICIENCY 3 PHASE 7.5 KW COPPER WINDING
A058,ORG_A,STAINLESS STEEL SUBMERSIBLE PUMP 2.0 HP VERTICAL 2800 RPM;
A059,ORG_A,"S.S. SMLS PIPE 2"" SCHEDULE 40 ASTM A312 TP304"
A060,ORG_A,"STAINLESS STEEL SMLS PIPE 3"" SCHEDULE 80 ASTM A312 TP316."
A061,ORG_A,"CS WLD. PIPE 4"" SCHEDULE 40 ASTM A106 GRADE B;"
A062,ORG_A,"C.S. SEAMLESS PIPE 1"" SCHEDULE 80 ASTM A53 GRADE B"
A063,ORG_A,"6"" ASTM A312 TP316L SEAMLESS PIPE S.S. SCH40"
A064,ORG_A,"CARBON STEEL SMLS. PIPE 8"" SCHEDULE 80 ASTM A106 GRADE B"
A065,ORG_A,"SCHEDULE 160 2"" ALLOY STEEL P11 SMLS. PIPE ASTM A335."
A066,ORG_A,"1/2"" TP304L SCH10S SS ASTM A312 WLD. PIPE"
A067,ORG_A,"CS WLD PIPE 1.5"" SCH40 ASTM A53 GRADE B."
A068,ORG_A,"S.S. SMLS PIPE 4"" SCHEDULE 80 ASTM A312 TP321"
A069,ORG_A,"BRASS BALL VALVE C37700 1/2"" ANSI B16.5"
A070,ORG_A,"SS GATE VALVE 3"" ANSI B16.34 CF8M"
A071,ORG_A,"C.S. GLOBE VALVE 2"" API 600 WCB"
A072,ORG_A,"CAST IRON BUTTERFLY VALVE 6"" API 609 GG25"
A073,ORG_A,"SS CHECK VALVE 4"" API 594 CF8"
A074,ORG_A,"CS SMLS PIPE 8"" SCH80 ASTM A106 GRADE B"
A075,ORG_A,"ALLOY STEEL SEAMLESS PIPE 2"" SCHEDULE 160 ASTM A335 P11."
A076,ORG_A,"ASTM A312 TP304L WELDED PIPE SCHEDULE 10S SS 1/2"""
A077,ORG_A,"CARBON STEEL WELDED PIPE 1.5"" SCH40 ASTM A53 GRADE B."
A078,ORG_A,"SS SEAMLESS PIPE 4"" SCHEDULE 80 ASTM A312 TP321"
A079,ORG_A,"C37700 1/2"" BRASS BALL VALVE ANSI B16.5"
A080,ORG_A,"STAINLESS STEEL GATE VALVE 3"" ANSI B16.34 CF8M"
A081,ORG_A,"API 600 GLOBE VALVE CS WCB 2"""
A082,ORG_A,"CAST IRON BUTTERFLY VALVE 6"" API 609 GG25"
A083,ORG_A,"CF8 API 594 STAINLESS STEEL 4"" CHECK VALVE."
A084,ORG_A,"BRONZE GATE VALVE 1"" MSS SP-80 B62"
A085,ORG_A,"CARBON STEEL BALL VALVE 2"" API 6D LF2"
A086,ORG_A,"SS GLOBE VALVE 1.5"" API 603 CF3M"
A087,ORG_A,"ALLOY STEEL BUTTERFLY VALVE 8"" API 609 WC6."
A088,ORG_A,"C36000 2"" GATE VALVE BRASS MSS SP-80"
A089,ORG_A,CHROME ST. B. BEARING 50MM ISO 15 6210-2RS
A090,ORG_A,CHROME ST. ROLLER BEARING 80MM DIN 5412 NU2211.
A091,ORG_A,CHROME STEEL TAPERED ROLLER BEARING 45MM ISO 355 30209
A092,ORG_A,S.S. BALL BEARING 25MM ISO 15 S6205-2RS.
A093,ORG_A,CHROME STEEL NEEDLE ROLLER BEARING 20MM ISO 3245 HK2016
