material_id,organization_id,description
B024,ORG_B,STAINLESS STEEL BALL BEARING 25MM ISO 15 GRADE S6205-2RS
B025,ORG_B,CHROME STEEL NEEDLE ROLLER BEARING 20MM ISO 3245 GRADE HK2016
B026,ORG_B,CHROME STEEL BALL BEARING 35MM ISO 15 GRADE 6007-ZZ
B027,ORG_B,STAINLESS STEEL ROLLER BEARING 60MM ISO 15 GRADE S-NU309
B028,ORG_B,CHROME STEEL THRUST BALL BEARING 40MM DIN 711 GRADE 51108
B029,ORG_B,STAINLESS STEEL HEX BOLT M12 DIN 933 GRADE A2-70
B030,ORG_B,CARBON STEEL HEX NUT M16 DIN 934 GRADE CLASS 8
B031,ORG_B,STAINLESS STEEL WASHER M12 DIN 125 GRADE A4
B032,ORG_B,CARBON STEEL SOCKET HEAD CAP SCREW M8 DIN 912 GRADE GRADE 12.9
B033,ORG_B,BRASS HEX BOLT M10 DIN 931 GRADE C3604
B034,ORG_B,STAINLESS STEEL HEX NUT M8 DIN 934 GRADE A2-80
B035,ORG_B,CARBON STEEL STUD BOLT M24 DIN 976 GRADE GRADE 8.8
B036,ORG_B,ALLOY STEEL HEX BOLT M20 ISO 4014 GRADE GRADE 10.9
B037,ORG_B,COPPER XLPE CABLE 4 CORE 16 SQMM IEC 60502 GRADE 1.1KV
B038,ORG_B,ALUMINUM PVC CABLE 3 CORE 70 SQMM IS 1554 GRADE 1.1KV
B039,ORG_B,COPPER INSTRUMENTATION CABLE 2 PAIR 1.5 SQMM BS 5308 GRADE 500V
B040,ORG_B,COPPER FLEXIBLE CABLE 3 CORE 2.5 SQMM IEC 60227 GRADE 300/500V
B041,ORG_B,ALUMINUM XLPE CABLE 4 CORE 120 SQMM IEC 60502-2 GRADE 11KV
B042,ORG_B,COPPER ARMORED CABLE 3 CORE 6 SQMM IEC 60502 GRADE 1.1KV
B043,ORG_B,CARBON STEEL WELD NECK FLANGE 3 IN SCHEDULE 150# ANSI B16.5 GRADE A105
B044,ORG_B,STAINLESS STEEL SLIP ON FLANGE 50.8 MM SCHEDULE 300# ANSI B16.5 GRADE A182 F316
B045,ORG_B,CARBON STEEL BLIND FLANGE 4 IN SCHEDULE 150# ANSI B16.5 GRADE A105
B046,ORG_B,STAINLESS STEEL WELD NECK FLANGE 6 IN SCHEDULE 600# ANSI B16.5 GRADE A182 F304
B047,ORG_B,ALLOY STEEL SLIP ON FLANGE 101.6 MM SCHEDULE 300# ANSI B16.5 GRADE A182 F11
B048,ORG_B,CARBON STEEL 90 DEG ELBOW 2 IN SCHEDULE SCH40 ASTM A234 GRADE WPB
B049,ORG_B,STAINLESS STEEL 45 DEG ELBOW 3 IN SCHEDULE SCH80S ASTM A403 GRADE WP316
B050,ORG_B,CARBON STEEL EQUAL TEE 101.6 MM SCHEDULE SCH40 ASTM A234 GRADE WPB
B051,ORG_B,STAINLESS STEEL CONCENTRIC REDUCER 4 IN X 2 IN SCHEDULE SCH40S ASTM A403 GRADE WP304
B052,ORG_B,GRAPHITE SPIRAL WOUND GASKET 50.8 MM SCHEDULE 150# ASME B16.20 GRADE SS316 INNER
B053,ORG_B,PTFE FULL FACE GASKET 76.2 MM SCHEDULE 150# ASME B16.21 GRADE TEFLON
B054,ORG_B,NON-ASBESTOS RING GASKET 4 IN SCHEDULE 300# ASME B16.21 GRADE KLINGER
B055,ORG_B,CAST IRON CENTRIFUGAL PUMP 1.5 HP HORIZONTAL GRADE 2900 RPM
B056,ORG_B,COPPER WINDING INDUCTION MOTOR 11 KW IE3 EFFICIENCY GRADE 3 PHASE
B057,ORG_B,COPPER WINDING INDUCTION MOTOR 7.5 KW IE2 EFFICIENCY GRADE 3 PHASE
B058,ORG_B,STAINLESS STEEL SUBMERSIBLE PUMP 2.0 HP VERTICAL GRADE 2800 RPM
B059,ORG_B,STAINLESS STEEL SEAMLESS PIPE 3 IN SCHEDULE 40 ASTM A312 GRADE TP304
B060,ORG_B,STAINLESS STEEL SEAMLESS PIPE 50.8 MM SCHEDULE 80 ASTM A312 GRADE TP316
B061,ORG_B,CARBON STEEL WELDED PIPE 50.8 MM SCHEDULE 40 ASTM A106 GRADE GRADE B
B062,ORG_B,CARBON STEEL SEAMLESS PIPE 2 IN SCHEDULE 80 ASTM A53 GRADE GRADE B
B063,ORG_B,STAINLESS STEEL SEAMLESS PIPE 50.8 MM SCHEDULE 40 ASTM A312 GRADE TP316L
B064,ORG_B,CARBON STEEL SEAMLESS PIPE 2 IN SCHEDULE 80 ASTM A106 GRADE GRADE B
B065,ORG_B,ALLOY STEEL SEAMLESS PIPE 3 IN SCHEDULE 160 ASTM A335 GRADE P11
B066,ORG_B,STAINLESS STEEL WELDED PIPE 76.2 MM SCHEDULE 10S ASTM A312 GRADE TP304L
B067,ORG_B,CARBON STEEL WELDED PIPE 2 IN SCHEDULE 40 ASTM A53 GRADE GRADE B
B068,ORG_B,STAINLESS STEEL SEAMLESS PIPE 2 IN SCHEDULE 80 ASTM A312 GRADE TP321
B069,ORG_B,BRASS BALL VALVE 3 IN ANSI B16.5 GRADE C37700
B070,ORG_B,STAINLESS STEEL GATE VALVE 50.8 MM ANSI B16.34 GRADE CF8M
B071,ORG_B,CARBON STEEL GLOBE VALVE 76.2 MM API 600 GRADE WCB
B072,ORG_B,CAST IRON BUTTERFLY VALVE 50.8 MM API 609 GRADE GG25
B073,ORG_B,STAINLESS STEEL CHECK VALVE 2 IN API 594 GRADE CF8
B074,ORG_B,CARBON STEEL SEAMLESS PIPE 203.2 MM SCHEDULE 80 ASTM A106 GRADE TP304
B075,ORG_B,ALLOY STEEL SEAMLESS PIPE 50.8 MM SCHEDULE 160 ASTM A335 GRADE TP304
B076,ORG_B,STAINLESS STEEL WELDED PIPE 1/2 IN SCHEDULE 10S ASTM A312 GRADE TP316
B077,ORG_B,CARBON STEEL WELDED PIPE 38.1 MM SCHEDULE 40 ASTM A53 GRADE TP304
B078,ORG_B,STAINLESS STEEL SEAMLESS PIPE 101.6 MM SCHEDULE 80 ASTM A312 GRADE TP304
B079,ORG_B,BRASS BALL VALVE 1/2 IN ANSI B16.5 GRADE TP304
B080,ORG_B,STAINLESS STEEL GATE VALVE 3 IN ANSI B16.34 GRADE CF8
B081,ORG_B,CARBON STEEL GLOBE VALVE 2 IN API 600 GRADE TP304
B082,ORG_B,CAST IRON BUTTERFLY VALVE 6 IN API 609 GRADE TP304
B083,ORG_B,STAINLESS STEEL CHECK VALVE 101.6 MM API 594 GRADE CF8M
B084,ORG_B,BRONZE GATE VALVE 25.4 MM MSS SP-80 GRADE TP304
B085,ORG_B,CARBON STEEL BALL VALVE 2 IN API 6D GRADE TP304
B086,ORG_B,STAINLESS STEEL GLOBE VALVE 1.5 IN API 603 GRADE TP304
B087,ORG_B,ALLOY STEEL BUTTERFLY VALVE 203.2 MM API 609 GRADE TP304
B088,ORG_B,BRASS GATE VALVE 2 IN MSS SP-80 GRADE TP304
B089,ORG_B,CHROME STEEL BALL BEARING 50MM ISO 15 GRADE TP304
B090,ORG_B,CHROME STEEL ROLLER BEARING 80MM DIN 5412 GRADE TP304
B091,ORG_B,CHROME STEEL TAPERED ROLLER BEARING 45MM ISO 355 GRADE TP304
B092,ORG_B,STAINLESS STEEL BALL BEARING 25MM ISO 15 GRADE TP304
B093,ORG_B,CHROME STEEL NEEDLE ROLLER BEARING 20MM ISO 3245 GRADE TP304
