material_id,organization_id,description,normalized_description
A030,ORG_A,ALUMINUM XLPE CABLE 4 CORE 120 SQMM IEC 60502-2 11KV.,ALUMINUM XLPE CABLE 4 CORE 120 SQMM IEC 60502-2 11KV
A031,ORG_A,"S.S. SEAMLESS PIPE 2"" SCHEDULE 40 ASTM A312 TP304.",STAINLESS STEEL. SEAMLESS PIPE 2 IN SCHEDULE 40 ASTM A312 TP304
A032,ORG_A,"S.S. SEAMLESS PIPE 3"" SCHEDULE 80 ASTM A312 TP316",STAINLESS STEEL. SEAMLESS PIPE 3 IN SCHEDULE 80 ASTM A312 TP316
A033,ORG_A,"C.S. WELDED PIPE 4"" SCH40 ASTM A106 GRADE B",CARBON STEEL. WELDED PIPE 4 IN SCH40 ASTM A106 GRADE B
A034,ORG_A,"CS SEAMLESS PIPE 1"" SCH80 ASTM A53 GRADE B",CARBON STEEL SEAMLESS PIPE 1 IN SCH80 ASTM A53 GRADE B
A035,ORG_A,"STAINLESS STEEL SEAMLESS PIPE 6"" SCHEDULE 40 ASTM A312 TP316L",STAINLESS STEEL SEAMLESS PIPE 6 IN SCHEDULE 40 ASTM A312 TP316L
A036,ORG_A,"CS SEAMLESS PIPE 8"" SCH80 ASTM A106 GRADE B",CARBON STEEL SEAMLESS PIPE 8 IN SCH80 ASTM A106 GRADE B
A037,ORG_A,"ALLOY STEEL SEAMLESS PIPE 2"" SCHEDULE 160 ASTM A335 P11",ALLOY STEEL SEAMLESS PIPE 2 IN SCHEDULE 160 ASTM A335 P11
A038,ORG_A,"SS WELDED PIPE 1/2"" SCHEDULE 10S ASTM A312 TP304L",STAINLESS STEEL WELDED PIPE 1/2 IN SCHEDULE 10S ASTM A312 TP304L
A039,ORG_A,"BRASS BALL VALVE 1/2"" ANSI B16.5 C37700",BRASS BALL VALVE 1/2 IN ANSI B16.5 C37700
A040,ORG_A,"SS GATE VALVE 3"" ANSI B16.34 CF8M",STAINLESS STEEL GATE VALVE 3 IN ANSI B16.34 CF8M
A041,ORG_A,"CARBON STEEL SEAMLESS PIPE 8"" SCH80 ASTM A106 GRADE B",CARBON STEEL SEAMLESS PIPE 8 IN SCH80 ASTM A106 GRADE B
A042,ORG_A,"ALLOY STEEL SEAMLESS PIPE 2"" SCHEDULE 160 ASTM A335 P11",ALLOY STEEL SEAMLESS PIPE 2 IN SCHEDULE 160 ASTM A335 P11
A043,ORG_A,"SS WELDED PIPE 1/2"" SCH10S ASTM A312 TP304L",STAINLESS STEEL WELDED PIPE 1/2 IN SCH10S ASTM A312 TP304L
A044,ORG_A,"BRASS BALL VALVE 1/2"" ANSI B16.5 C37700",BRASS BALL VALVE 1/2 IN ANSI B16.5 C37700
A045,ORG_A,"STAINLESS STEEL GATE VALVE 3"" ANSI B16.34 CF8M.",STAINLESS STEEL GATE VALVE 3 IN ANSI B16.34 CF8M
A046,ORG_A,"C.S. GLOBE VALVE 2"" API 600 WCB.",CARBON STEEL. GLOBE VALVE 2 IN API 600 WCB
A047,ORG_A,"CAST IRON BUTTERFLY VALVE 6"" API 609 GG25",CAST IRON BUTTERFLY VALVE 6 IN API 609 GG25
A048,ORG_A,"S.S. CHECK VALVE 4"" API 594 CF8.",STAINLESS STEEL. CHECK VALVE 4 IN API 594 CF8
A049,ORG_A,"BRONZE GATE VALVE 1"" MSS SP-80 B62",BRONZE GATE VALVE 1 IN MSS SP-80 B62
A050,ORG_A,"CARBON STEEL BALL VALVE 2"" API 6D LF2",CARBON STEEL BALL VALVE 2 IN API 6D LF2
